CalendarDate,Year,Month,Day,Week
2024-01-01,2024,1,1,1
2024-01-02,2024,1,2,1
2024-01-03,2024,1,3,1
2024-01-04,2024,1,4,1
2024-01-05,2024,1,5,1
2024-01-06,2024,1,6,1
2024-01-07,2024,1,7,1
2024-01-08,2024,1,8,2
2024-01-09,2024,1,9,2
2024-01-10,2024,1,10,2
2024-01-11,2024,1,11,2
2024-01-12,2024,1,12,2
2024-01-13,2024,1,13,2
2024-01-14,2024,1,14,2
2024-01-15,2024,1,15,3
2024-01-16,2024,1,16,3
2024-01-17,2024,1,17,3
2024-01-18,2024,1,18,3
2024-01-19,2024,1,19,3
2024-01-20,2024,1,20,3
2024-01-21,2024,1,21,3
2024-01-22,2024,1,22,4
2024-01-23,2024,1,23,4
2024-01-24,2024,1,24,4
2024-01-25,2024,1,25,4
2024-01-26,2024,1,26,4
2024-01-27,2024,1,27,4
2024-01-28,2024,1,28,4
2024-01-29,2024,1,29,5
2024-01-30,2024,1,30,5
